"Alue","Vuosi","Koulutussektori","Ulkomaalaiset opiskelijat","Vieraskieliset opiskelijat"
"Akaa","2021","Yliopistokoulutus",0,0
"Akaa","2022","Perusopetus",22,39
"Akaa","2022","Perusasteen jälkeinen koulutus yhteensä",1,6
"Akaa","2022","Lukiokoulutus",1,6
"Akaa","2022","Ammatillinen koulutus",0,0
"Akaa","2022","Ammattikorkeakoulutus",0,0
"Akaa","2022","Yliopistokoulutus",0,0
"Alajärvi","2004","Perusopetus",0,0
"Alajärvi","2004","Perusasteen jälkeinen koulutus yhteensä",41,38
"Alajärvi","2004","Lukiokoulutus",2,2
"Alajärvi","2004","Ammatillinen koulutus",39,36
"Alajärvi","2004","Ammattikorkeakoulutus",0,0
"Alajärvi","2004","Yliopistokoulutus",0,0
"Alajärvi","2005","Perusopetus",0,0
"Alajärvi","2005","Perusasteen jälkeinen koulutus yhteensä",60,60
"Alajärvi","2005","Lukiokoulutus",3,4
"Alajärvi","2005","Ammatillinen koulutus",57,56
"Alajärvi","2005","Ammattikorkeakoulutus",0,0
"Alajärvi","2005","Yliopistokoulutus",0,0
"Alajärvi","2006","Perusopetus",0,0
"Alajärvi","2006","Perusasteen jälkeinen koulutus yhteensä",62,64
"Alajärvi","2006","Lukiokoulutus",4,6
"Alajärvi","2006","Ammatillinen koulutus",58,58
"Alajärvi","2006","Ammattikorkeakoulutus",0,0
"Alajärvi","2006","Yliopistokoulutus",0,0
"Alajärvi","2007","Perusopetus",0,0
"Alajärvi","2007","Perusasteen jälkeinen koulutus yhteensä",92,94
"Alajärvi","2007","Lukiokoulutus",3,5
"Alajärvi","2007","Ammatillinen koulutus",89,89
"Alajärvi","2007","Ammattikorkeakoulutus",0,0
"Alajärvi","2007","Yliopistokoulutus",0,0
"Alajärvi","2008","Perusopetus",0,0
"Alajärvi","2008","Perusasteen jälkeinen koulutus yhteensä",80,83
"Alajärvi","2008","Lukiokoulutus",1,3
"Alajärvi","2008","Ammatillinen koulutus",79,80
"Alajärvi","2008","Ammattikorkeakoulutus",0,0
"Alajärvi","2008","Yliopistokoulutus",0,0
"Alajärvi","2009","Perusopetus",0,0
"Alajärvi","2009","Perusasteen jälkeinen koulutus yhteensä",85,87
"Alajärvi","2009","Lukiokoulutus",0,1
"Alajärvi","2009","Ammatillinen koulutus",85,86
"Alajärvi","2009","Ammattikorkeakoulutus",0,0
"Alajärvi","2009","Yliopistokoulutus",0,0
"Alajärvi","2010","Perusopetus",0,0
"Alajärvi","2010","Perusasteen jälkeinen koulutus yhteensä",82,85
"Alajärvi","2010","Lukiokoulutus",0,0
"Alajärvi","2010","Ammatillinen koulutus",82,85
"Alajärvi","2010","Ammattikorkeakoulutus",0,0
"Alajärvi","2010","Yliopistokoulutus",0,0
"Alajärvi","2011","Perusopetus",0,0
"Alajärvi","2011","Perusasteen jälkeinen koulutus yhteensä",74,77
"Alajärvi","2011","Lukiokoulutus",0,1
"Alajärvi","2011","Ammatillinen koulutus",74,76
"Alajärvi","2011","Ammattikorkeakoulutus",0,0
"Alajärvi","2011","Yliopistokoulutus",0,0
"Alajärvi","2012","Perusopetus",0,0
"Alajärvi","2012","Perusasteen jälkeinen koulutus yhteensä",62,64
"Alajärvi","2012","Lukiokoulutus",0,0
"Alajärvi","2012","Ammatillinen koulutus",61,62
"Alajärvi","2012","Ammattikorkeakoulutus",1,2
"Alajärvi","2012","Yliopistokoulutus",0,0
"Alajärvi","2013","Perusopetus",0,0
"Alajärvi","2013","Perusasteen jälkeinen koulutus yhteensä",111,110
"Alajärvi","2013","Lukiokoulutus",0,0
"Alajärvi","2013","Ammatillinen koulutus",110,109
"Alajärvi","2013","Ammattikorkeakoulutus",1,1
"Alajärvi","2013","Yliopistokoulutus",0,0
"Alajärvi","2014","Perusopetus",0,0
"Alajärvi","2014","Perusasteen jälkeinen koulutus yhteensä",83,84
"Alajärvi","2014","Lukiokoulutus",0,0
"Alajärvi","2014","Ammatillinen koulutus",83,83
"Alajärvi","2014","Ammattikorkeakoulutus",0,1
"Alajärvi","2014","Yliopistokoulutus",0,0
"Alajärvi","2015","Perusopetus",0,0
"Alajärvi","2015","Perusasteen jälkeinen koulutus yhteensä",66,68
"Alajärvi","2015","Lukiokoulutus",0,0
"Alajärvi","2015","Ammatillinen koulutus",66,68
"Alajärvi","2015","Ammattikorkeakoulutus",0,0
"Alajärvi","2015","Yliopistokoulutus",0,0
"Alajärvi","2016","Perusopetus",0,0
"Alajärvi","2016","Perusasteen jälkeinen koulutus yhteensä",75,75
"Alajärvi","2016","Lukiokoulutus",0,0
"Alajärvi","2016","Ammatillinen koulutus",75,75
"Alajärvi","2016","Ammattikorkeakoulutus",0,0
"Alajärvi","2016","Yliopistokoulutus",0,0
"Alajärvi","2017","Perusopetus",0,0
"Alajärvi","2017","Perusasteen jälkeinen koulutus yhteensä",65,68
"Alajärvi","2017","Lukiokoulutus",1,1
"Alajärvi","2017","Ammatillinen koulutus",64,67
"Alajärvi","2017","Ammattikorkeakoulutus",0,0
"Alajärvi","2017","Yliopistokoulutus",0,0
"Alajärvi","2018","Perusopetus",0,0
"Alajärvi","2018","Perusasteen jälkeinen koulutus yhteensä",75,79
"Alajärvi","2018","Lukiokoulutus",0,0
"Alajärvi","2018","Ammatillinen koulutus",75,79
"Alajärvi","2018","Ammattikorkeakoulutus",0,0
"Alajärvi","2018","Yliopistokoulutus",0,0
"Alajärvi","2019","Perusopetus",0,0
"Alajärvi","2019","Perusasteen jälkeinen koulutus yhteensä",110,114
"Alajärvi","2019","Lukiokoulutus",1,2
"Alajärvi","2019","Ammatillinen koulutus",109,112
"Alajärvi","2019","Ammattikorkeakoulutus",0,0
"Alajärvi","2019","Yliopistokoulutus",0,0
"Alajärvi","2020","Perusopetus",13,16
"Alajärvi","2020","Perusasteen jälkeinen koulutus yhteensä",104,106
"Alajärvi","2020","Lukiokoulutus",1,2
"Alajärvi","2020","Ammatillinen koulutus",103,104
"Alajärvi","2020","Ammattikorkeakoulutus",0,0
"Alajärvi","2020","Yliopistokoulutus",0,0
"Alajärvi","2021","Perusopetus",12,15
"Alajärvi","2021","Perusasteen jälkeinen koulutus yhteensä",106,108
"Alajärvi","2021","Lukiokoulutus",0,0
"Alajärvi","2021","Ammatillinen koulutus",106,108
"Alajärvi","2021","Ammattikorkeakoulutus",0,0
"Alajärvi","2021","Yliopistokoulutus",0,0
"Alajärvi","2022","Perusopetus",19,22
"Alajärvi","2022","Perusasteen jälkeinen koulutus yhteensä",131,136
"Alajärvi","2022","Lukiokoulutus",1,1
"Alajärvi","2022","Ammatillinen koulutus",130,135
"Alajärvi","2022","Ammattikorkeakoulutus",0,0
"Alajärvi","2022","Yliopistokoulutus",0,0
"Alavieska","2004","Perusopetus",0,0
"Alavieska","2004","Perusasteen jälkeinen koulutus yhteensä",0,0
"Alavieska","2004","Lukiokoulutus",0,0
"Alavieska","2004","Ammatillinen koulutus",0,0
"Alavieska","2004","Ammattikorkeakoulutus",0,0
"Alavieska","2004","Yliopistokoulutus",0,0
"Alavieska","2005","Perusopetus",0,0
"Alavieska","2005","Perusasteen jälkeinen koulutus yhteensä",0,0
"Alavieska","2005","Lukiokoulutus",0,0
"Alavieska","2005","Ammatillinen koulutus",0,0
"Alavieska","2005","Ammattikorkeakoulutus",0,0
"Alavieska","2005","Yliopistokoulutus",0,0
"Alavieska","2006","Perusopetus",0,0
"Alavieska","2006","Perusasteen jälkeinen koulutus yhteensä",0,0
"Alavieska","2006","Lukiokoulutus",0,0
"Alavieska","2006","Ammatillinen koulutus",0,0
"Alavieska","2006","Ammattikorkeakoulutus",0,0
"Alavieska","2006","Yliopistokoulutus",0,0
"Alavieska","2007","Perusopetus",0,0
"Alavieska","2007","Perusasteen jälkeinen koulutus yhteensä",0,0
"Alavieska","2007","Lukiokoulutus",0,0
"Alavieska","2007","Ammatillinen koulutus",0,0
"Alavieska","2007","Ammattikorkeakoulutus",0,0
"Alavieska","2007","Yliopistokoulutus",0,0
"Alavieska","2008","Perusopetus",0,0
"Alavieska","2008","Perusasteen jälkeinen koulutus yhteensä",0,0
"Alavieska","2008","Lukiokoulutus",0,0
"Alavieska","2008","Ammatillinen koulutus",0,0
"Alavieska","2008","Ammattikorkeakoulutus",0,0
"Alavieska","2008","Yliopistokoulutus",0,0
"Alavieska","2009","Perusopetus",0,0
"Alavieska","2009","Perusasteen jälkeinen koulutus yhteensä",0,0
"Alavieska","2009","Lukiokoulutus",0,0
"Alavieska","2009","Ammatillinen koulutus",0,0
"Alavieska","2009","Ammattikorkeakoulutus",0,0
"Alavieska","2009","Yliopistokoulutus",0,0
"Alavieska","2010","Perusopetus",0,0
"Alavieska","2010","Perusasteen jälkeinen koulutus yhteensä",0,0
"Alavieska","2010","Lukiokoulutus",0,0
"Alavieska","2010","Ammatillinen koulutus",0,0
"Alavieska","2010","Ammattikorkeakoulutus",0,0
"Alavieska","2010","Yliopistokoulutus",0,0
"Alavieska","2011","Perusopetus",0,0
"Alavieska","2011","Perusasteen jälkeinen koulutus yhteensä",0,0
"Alavieska","2011","Lukiokoulutus",0,0
"Alavieska","2011","Ammatillinen koulutus",0,0
"Alavieska","2011","Ammattikorkeakoulutus",0,0
"Alavieska","2011","Yliopistokoulutus",0,0
"Alavieska","2012","Perusopetus",0,0
"Alavieska","2012","Perusasteen jälkeinen koulutus yhteensä",0,0
"Alavieska","2012","Lukiokoulutus",0,0
"Alavieska","2012","Ammatillinen koulutus",0,0
"Alavieska","2012","Ammattikorkeakoulutus",0,0
"Alavieska","2012","Yliopistokoulutus",0,0
"Alavieska","2013","Perusopetus",0,0
"Alavieska","2013","Perusasteen jälkeinen koulutus yhteensä",0,0
"Alavieska","2013","Lukiokoulutus",0,0
"Alavieska","2013","Ammatillinen koulutus",0,0
"Alavieska","2013","Ammattikorkeakoulutus",0,0
"Alavieska","2013","Yliopistokoulutus",0,0
"Alavieska","2014","Perusopetus",0,0
"Alavieska","2014","Perusasteen jälkeinen koulutus yhteensä",0,0
"Alavieska","2014","Lukiokoulutus",0,0
"Alavieska","2014","Ammatillinen koulutus",0,0
"Alavieska","2014","Ammattikorkeakoulutus",0,0
"Alavieska","2014","Yliopistokoulutus",0,0
"Alavieska","2015","Perusopetus",0,0
"Alavieska","2015","Perusasteen jälkeinen koulutus yhteensä",0,0
"Alavieska","2015","Lukiokoulutus",0,0
"Alavieska","2015","Ammatillinen koulutus",0,0
"Alavieska","2015","Ammattikorkeakoulutus",0,0
"Alavieska","2015","Yliopistokoulutus",0,0
"Alavieska","2016","Perusopetus",0,0
"Alavieska","2016","Perusasteen jälkeinen koulutus yhteensä",0,0
"Alavieska","2016","Lukiokoulutus",0,0
"Alavieska","2016","Ammatillinen koulutus",0,0
"Alavieska","2016","Ammattikorkeakoulutus",0,0
"Alavieska","2016","Yliopistokoulutus",0,0
"Alavieska","2017","Perusopetus",0,0
"Alavieska","2017","Perusasteen jälkeinen koulutus yhteensä",0,0
"Alavieska","2017","Lukiokoulutus",0,0
"Alavieska","2017","Ammatillinen koulutus",0,0
"Alavieska","2017","Ammattikorkeakoulutus",0,0
"Alavieska","2017","Yliopistokoulutus",0,0
"Alavieska","2018","Perusopetus",0,0
"Alavieska","2018","Perusasteen jälkeinen koulutus yhteensä",0,0
"Alavieska","2018","Lukiokoulutus",0,0
"Alavieska","2018","Ammatillinen koulutus",0,0
"Alavieska","2018","Ammattikorkeakoulutus",0,0
"Alavieska","2018","Yliopistokoulutus",0,0
"Alavieska","2019","Perusopetus",0,0
"Alavieska","2019","Perusasteen jälkeinen koulutus yhteensä",0,0
"Alavieska","2019","Lukiokoulutus",0,0
"Alavieska","2019","Ammatillinen koulutus",0,0
"Alavieska","2019","Ammattikorkeakoulutus",0,0
"Alavieska","2019","Yliopistokoulutus",0,0
"Alavieska","2020","Perusopetus",0,0
"Alavieska","2020","Perusasteen jälkeinen koulutus yhteensä",0,0
"Alavieska","2020","Lukiokoulutus",0,0
"Alavieska","2020","Ammatillinen koulutus",0,0
