"Matkan kohdekunta","Vuosi","Yön yli matkoja, tuhatta matkaa","Matkojen muutos, %","Yöpymisiä, tuhatta yöpymistä","Yöpymisten muutos, %","Matkan keskimääräinen kesto, yötä","Matkan mediaanikesto, yötä"
"Suomussalmi","2019",.,.,.,.,.,.
"Suomussalmi","2020",110,..,630,..,5.7,4.0
"Suomussalmi","2021",130,16,700,10,5.4,4.0
"Suomussalmi","2022",.,.,.,.,.,.
"Suomussalmi","2023",.,.,.,.,.,.
"Sysmä","2012",.,.,.,.,.,.
"Sysmä","2013",100,..,260,..,2.6,2.0
"Sysmä","2014",110,9,430,67,3.9,2.0
"Sysmä","2015",110,0,330,-22,3.0,2.5
"Sysmä","2016",.,.,.,.,.,.
"Sysmä","2017",.,.,.,.,.,.
"Sysmä","2018",110,..,290,..,2.6,2.0
"Sysmä","2019",.,.,.,.,.,.
"Sysmä","2020",.,.,.,.,.,.
"Sysmä","2021",140,..,620,..,4.4,3.0
"Sysmä","2022",160,16,700,13,4.4,2.0
"Sysmä","2023",.,.,.,.,.,.
"Taipalsaari","2012",.,.,.,.,.,.
"Taipalsaari","2013",.,.,.,.,.,.
"Taipalsaari","2014",.,.,.,.,.,.
"Taipalsaari","2015",.,.,.,.,.,.
"Taipalsaari","2016",.,.,.,.,.,.
"Taipalsaari","2017",.,.,.,.,.,.
"Taipalsaari","2018",.,.,.,.,.,.
"Taipalsaari","2019",.,.,.,.,.,.
"Taipalsaari","2020",.,.,.,.,.,.
"Taipalsaari","2021",100,..,770,..,7.7,3.5
"Taipalsaari","2022",.,.,.,.,.,.
"Taipalsaari","2023",.,.,.,.,.,.
"Taivalkoski","2012",.,.,.,.,.,.
"Taivalkoski","2013",.,.,.,.,.,.
"Taivalkoski","2014",.,.,.,.,.,.
"Taivalkoski","2015",.,.,.,.,.,.
"Taivalkoski","2016",.,.,.,.,.,.
"Taivalkoski","2017",.,.,.,.,.,.
"Taivalkoski","2018",110,..,380,..,3.5,2.0
"Taivalkoski","2019",.,.,.,.,.,.
"Taivalkoski","2020",.,.,.,.,.,.
"Taivalkoski","2021",.,.,.,.,.,.
"Taivalkoski","2022",.,.,.,.,.,.
"Taivalkoski","2023",.,.,.,.,.,.
"Tammela","2012",.,.,.,.,.,.
"Tammela","2013",.,.,.,.,.,.
"Tammela","2014",.,.,.,.,.,.
"Tammela","2015",.,.,.,.,.,.
"Tammela","2016",.,.,.,.,.,.
"Tammela","2017",.,.,.,.,.,.
"Tammela","2018",.,.,.,.,.,.
"Tammela","2019",.,.,.,.,.,.
"Tammela","2020",.,.,.,.,.,.
"Tammela","2021",.,.,.,.,.,.
"Tammela","2022",.,.,.,.,.,.
"Tammela","2023",100,..,280,..,2.8,2.0
"Tampere","2012",1540,.,3070,.,2.0,2.0
"Tampere","2013",1440,-7,2880,-6,2.0,2.0
"Tampere","2014",1240,-14,2470,-14,2.0,2.0
"Tampere","2015",1530,23,3220,30,2.1,2.0
"Tampere","2016",1480,-3,2860,-11,1.9,2.0
"Tampere","2017",1580,7,3140,10,2.0,2.0
"Tampere","2018",1430,-10,2820,-10,2.0,2.0
"Tampere","2019",1470,3,3080,9,2.1,2.0
"Tampere","2020",890,-39,2060,-33,2.3,2.0
"Tampere","2021",1110,24,2550,24,2.3,2.0
"Tampere","2022",1110,0,2610,2,2.4,2.0
"Tampere","2023",890,-20,1960,-25,2.2,2.0
"Tornio","2012",110,..,320,..,2.9,2.0
"Tornio","2013",110,2,270,-15,2.5,2.0
"Tornio","2014",.,.,.,.,.,.
"Tornio","2015",110,..,370,..,3.4,2.0
"Tornio","2016",140,29,430,17,3.1,2.5
"Tornio","2017",.,.,.,.,.,.
"Tornio","2018",.,.,.,.,.,.
"Tornio","2019",.,.,.,.,.,.
"Tornio","2020",.,.,.,.,.,.
"Tornio","2021",.,.,.,.,.,.
"Tornio","2022",.,.,.,.,.,.
"Tornio","2023",.,.,.,.,.,.
"Turku","2012",1010,..,2200,..,2.2,2.0
"Turku","2013",870,-14,1830,-16,2.1,2.0
"Turku","2014",970,12,2090,14,2.2,2.0
"Turku","2015",1030,6,2660,27,2.6,2.0
"Turku","2016",960,-7,1940,-27,2.0,2.0
"Turku","2017",910,-6,2190,13,2.4,2.0
"Turku","2018",960,6,1940,-11,2.0,2.0
"Turku","2019",1020,6,2010,3,2.0,2.0
"Turku","2020",590,-42,1410,-30,2.4,2.0
"Turku","2021",800,36,1700,20,2.1,2.0
"Turku","2022",780,-3,2180,28,2.8,2.0
"Turku","2023",460,-40,1090,-50,2.4,2.0
"Uusikaupunki","2012",.,.,.,.,.,.
"Uusikaupunki","2013",110,..,330,..,3.0,2.0
"Uusikaupunki","2014",100,-10,310,-5,3.1,2.0
"Uusikaupunki","2015",140,41,280,-9,2.0,2.0
"Uusikaupunki","2016",.,.,.,.,.,.
"Uusikaupunki","2017",100,..,270,..,2.7,2.0
"Uusikaupunki","2018",.,.,.,.,.,.
"Uusikaupunki","2019",110,..,700,..,6.4,3.0
"Uusikaupunki","2020",.,.,.,.,.,.
"Uusikaupunki","2021",130,..,410,..,3.2,2.0
"Uusikaupunki","2022",140,9,420,1,3.0,2.0
"Uusikaupunki","2023",.,.,.,.,.,.
"Vaala","2012",.,.,.,.,.,.
"Vaala","2013",.,.,.,.,.,.
"Vaala","2014",.,.,.,.,.,.
"Vaala","2015",.,.,.,.,.,.
"Vaala","2016",.,.,.,.,.,.
"Vaala","2017",.,.,.,.,.,.
"Vaala","2018",.,.,.,.,.,.
"Vaala","2019",.,.,.,.,.,.
"Vaala","2020",.,.,.,.,.,.
"Vaala","2021",100,..,780,..,7.8,2.0
"Vaala","2022",.,.,.,.,.,.
"Vaala","2023",.,.,.,.,.,.
"Vaasa","2012",330,..,870,..,2.6,2.0
"Vaasa","2013",310,-6,690,-21,2.2,2.0
"Vaasa","2014",280,-10,650,-6,2.3,2.0
"Vaasa","2015",370,35,1030,59,2.8,2.0
