"Matkan kohdekunta","Vuosi","Yön yli matkoja, tuhatta matkaa","Matkojen muutos, %","Yöpymisiä, tuhatta yöpymistä","Yöpymisten muutos, %","Matkan keskimääräinen kesto, yötä","Matkan mediaanikesto, yötä"
"Helsinki","2021",1410,23,3290,14,2.3,2.0
"Helsinki","2022",1710,22,3990,21,2.3,2.0
"Helsinki","2023",1100,-36,2530,-37,2.3,2.0
"Hirvensalmi","2012",.,.,.,.,.,.
"Hirvensalmi","2013",.,.,.,.,.,.
"Hirvensalmi","2014",.,.,.,.,.,.
"Hirvensalmi","2015",.,.,.,.,.,.
"Hirvensalmi","2016",.,.,.,.,.,.
"Hirvensalmi","2017",.,.,.,.,.,.
"Hirvensalmi","2018",.,.,.,.,.,.
"Hirvensalmi","2019",.,.,.,.,.,.
"Hirvensalmi","2020",.,.,.,.,.,.
"Hirvensalmi","2021",110,..,390,..,3.5,2.0
"Hirvensalmi","2022",.,.,.,.,.,.
"Hirvensalmi","2023",.,.,.,.,.,.
"Hollola","2012",.,.,.,.,.,.
"Hollola","2013",.,.,.,.,.,.
"Hollola","2014",.,.,.,.,.,.
"Hollola","2015",.,.,.,.,.,.
